,name,team,opponent,points,salary,week
590,"Thomas, De'Anthony",kan,det,0,4500,4
591,"Thomas, Mike",lar, tam,0,4500,4
592,"Natson, JoJo",lar, tam,0,4500,4
593,"Miller, Scott",tam,lar,0,4500,4
594,"Lazard, Allen",gnb, phi,0,4500,4
595,"Smith, Devin",dal,nor,0,4900,4
596,"Latimer, Cody",nyg, was,0,5000,4
597,"Brown, Fred",den, jac,0,4500,4
598,"Sims Jr., Steven",was,nyg,0,4500,4
599,"Cain, Deon",ind, oak,0,4500,4
600,"Taylor, Taywan",cle,bal,0,4500,4
601,"Washington, James",pit, cin,0,5000,4
602,"Hodge, KhaDarel",cle,bal,0,4500,4
603,"Slater, Matthew",nwe,buf,0,5000,4
604,"Carter, DeAndre",hou, car,0,4500,4
605,"Arcega-Whiteside, JJ",phi,gnb,0,4900,4
606,"Perriman, Breshad",tam,lar,0,4600,4
607,"Holton, Johnny",pit, cin,0,4500,4
608,"Core, Cody",nyg, was,0,4500,4
609,"Jones, T.J.",nyg, was,0,4700,4
610,"McKenzie, Isaiah",buf, nwe,0,4500,4
611,"Meyers, Jakobi",nwe,buf,0,4500,4
612,"McCloud, Ray-Ray",car,hou,0,4500,4
613,"Shepherd, Darrius",gnb, phi,0,4500,4
614,"Humphrey, Lil'Jordan",nor, dal,0,4500,4
615,"Hardy, Justin",atl, ten,0,4500,4
616,"Switzer, Ryan",pit, cin,0,4500,4
617,"Hardman, Mecole",kan,det,-0.1,6500,4
618,"Fuller, Will",hou, atl,46.7,5700,5
619,"Thomas, Michael",nor, tam,35.7,7700,5
620,"Cooper, Amari",dal, gnb,34.1,7900,5
621,"Chark, D.J.",jac,car,32.4,5800,5
622,"Thielen, Adam",min,nyg,28.5,6900,5
623,"Godwin, Chris",tam,nor,28,7800,5
624,"Robinson, Allen",chi,oak,25.2,6900,5
625,"Boyd, Tyler",cin, ari,23.3,6700,5
626,"Kupp, Cooper",lar,sea,22.2,6800,5
627,"Edelman, Julian",nwe,was,21,6500,5
628,"Gallup, Michael",dal, gnb,20.8,6400,5
629,"Pringle, Byron",kan, ind,19.3,4500,5
630,"Ridley, Calvin",atl,hou,17.3,5400,5
631,"Sutton, Courtland",den,lac,17.2,5700,5
632,"Smith-Schuster, JuJu",pit, bal,15,7300,5
633,"Slayton, Darius",nyg, min,14.2,4800,5
634,"Sims Jr., Steven",was, nwe,13.6,4500,5
635,"Sanu, Mohamed",atl,hou,12.8,5900,5
636,"Lockett, Tyler",sea, lar,12.3,6300,5
637,"Hopkins, DeAndre",hou, atl,12.3,8500,5
638,"Moore, D.J.",car, jac,12.1,5900,5
639,"Westbrook, Dede",jac,car,11.7,5300,5
640,"Metcalf, D.K.",sea, lar,11.4,5800,5
641,"Williams, Duke",buf,ten,10.9,4500,5
642,"Ginn Jr., Ted",nor, tam,10.6,5000,5
643,"Williams, Mike",lac, den,10.4,6100,5
644,"Tate, Auden",cin, ari,10.1,5300,5
645,"Brown, John",buf,ten,10,5500,5
646,"Brown, Marquise",bal,pit,9.7,5400,5
647,"Landry, Jarvis",cle,sfo,9.5,6700,5
648,"Hardman, Mecole",kan, ind,9.3,6100,5
649,"Fitzgerald, Larry",ari,cin,8.8,5800,5
650,"Coutee, Keke",hou, atl,8.7,4500,5
651,"Gordon, Josh",nwe,was,8.4,6200,5
652,"Jeffery, Alshon",phi, nyj,8.2,6700,5
653,"Smith, Vyncint",nyj,phi,7.9,4500,5
654,"Moore, David",sea, lar,7.5,4700,5
655,"Woods, Robert",lar,sea,7.3,7300,5
656,"Shepard, Sterling",nyg, min,7.2,6500,5
657,"Miller, Anthony",chi,oak,7.2,5100,5
658,"Goodwin, Marquise",sfo, cle,7.1,5200,5
659,"Snead, Willie",bal,pit,7.1,5000,5
660,"Cobb, Randall",dal, gnb,6.8,5100,5
661,"Thomas, Demaryius",nyj,phi,6.7,4500,5
662,"Washington, James",pit, bal,6.7,5000,5
663,"McLaurin, Terry",was, nwe,6.6,6000,5
664,"Johnson, Olabisi",min,nyg,6.3,4500,5
665,"McKenzie, Isaiah",buf,ten,6.2,4500,5
666,"Cooks, Brandin",lar,sea,6.1,6900,5
667,"Diggs, Stefon",min,nyg,5.9,6000,5
668,"Samuel, Curtis",car, jac,5.9,5500,5
669,"Willis, Damion",cin, ari,5.8,4500,5
670,"Jones, Julio",atl,hou,5.7,8200,5
671,"Hilton, T.Y.",ind,kan,5.7,7400,5
672,"Johnson, Diontae",pit, bal,5.2,5000,5
673,"Humphries, Adam",ten, buf,5,5000,5
674,"Robinson, Demarcus",kan, ind,4.6,6500,5
675,"Cooper, Pharoh",ari,cin,4.3,4500,5
676,"Davis, Trevor",oak, chi,4.2,4600,5
677,"Johnson, KeeSean",ari,cin,4,4600,5
678,"Beckham Jr., Odell",cle,sfo,4,7700,5
679,"Allen, Keenan",lac, den,3.8,7500,5
680,"Allison, Geronimo",gnb,dal,3.8,5600,5
681,"Davis, Corey",ten, buf,3.8,5300,5
682,"Brown, A.J.",ten, buf,3.7,5600,5
683,"Beasley, Cole",buf,ten,3.6,5500,5
684,"Bourne, Kendrick",sfo, cle,3.4,4500,5
685,"Austin, Tavon",dal, gnb,3.2,4500,5
686,"Conley, Chris",jac,car,3.1,4900,5
