,name,team,opponent,points,salary,week
369,"Burton, Trey",chi,oak,3.1,4800,5
370,"Heuerman, Jeff",den,lac,3.1,4500,5
371,"Tonyan, Robert",gnb,dal,2.8,4000,5
372,"Sprinkle, Jeremy",was, nwe,2.7,4500,5
373,"Lewis, Marcedes",gnb,dal,2.7,4000,5
374,"LaCosse, Matt",nwe,was,2.7,4000,5
375,"Akins, Jordan",hou, atl,2.6,4800,5
376,"Uzomah, C.J.",cin, ari,2.6,4000,5
377,"Eifert, Tyler",cin, ari,2.4,4600,5
378,"Knox, Dawson",buf,ten,2.2,4800,5
379,"Holtz, J.P.",chi,oak,2.1,0,5
380,"Goedert, Dallas",phi, nyj,1.6,4500,5
381,"Brate, Cameron",tam,nor,1.6,4900,5
382,"Beck, Andrew",den,lac,1.5,4000,5
383,"Walker, Delanie",ten, buf,1.5,5300,5
384,"Howard, O.J.",tam,nor,1.5,5400,5
385,"Willson, Luke",sea, lar,1.5,4200,5
386,"Alie-Cox, Mo",ind,kan,1.5,4200,5
387,"Ebron, Eric",ind,kan,1.3,5300,5
388,"Williams, Maxx",ari,cin,1.2,4000,5
389,"Fant, Noah",den,lac,1.1,4900,5
390,"Green, Virgil",lac, den,1,4000,5
391,"Rudolph, Kyle",min,nyg,0.9,4500,5
392,"Swaim, Geoff",jac,car,0.9,4500,5
393,"Ellison, Rhett",nyg, min,0.8,4000,5
394,"Griffin, Ryan",nyj,phi,0.7,4000,5
395,"Dwelley, Ross",sfo, cle,0.7,4000,5
396,"Harris, Demetrius",cle,sfo,0.5,4500,5
397,"Seals-Jones, Ricky",cle,sfo,0,5500,5
398,"Firkser, Anthony",ten, buf,0,4000,5
399,"Jarwin, Blake",dal, gnb,0,4500,5
400,"Auclair, Antony",tam,nor,0,4000,5
401,"Sweeney, Tommy",buf,ten,0,4000,5
402,"Carter, Cethan",cin, ari,0,4000,5
403,"Schultz, Dalton",dal, gnb,0,4000,5
404,"Shaheen, Adam",chi,oak,0,4300,5
405,"Brown, Pharaoh",cle,sfo,0,4000,5
406,"Olsen, Greg",car, jac,0,5700,5
407,"Thomas, Ian",car, jac,0,4000,5
408,"Sample, Drew",cin, ari,0,4000,5
409,"Mundt, Johnny",lar,sea,0,4000,5
410,"Kendricks, Lance",lac, den,0,5100,5
411,"Smith Jr., Irv",min,nyg,0,4500,5
412,"DeValve, Seth",jac,car,0,4000,5
413,"Pruitt, MyCole",ten, buf,0,4000,5
414,"Bell, Blake",kan, ind,0,4000,5
415,"Yelder, Deon",kan, ind,0,4000,5
416,"Daniels, Darrell",ari,cin,0,4000,5
417,"Boyle, Nick",bal,pit,0,4700,5
418,"Anderson, Stephen",lac, den,0,4000,5
419,"Toilolo, Levine",sfo, cle,0,4000,5
420,"Vannett, Nick",pit, bal,0,4900,5
421,"Stocker, Luke",atl,hou,0,4000,5
422,"Brown, Daniel",nyj,phi,0,4500,5
423,"Braunecker, Ben",chi,oak,0,4000,5
424,"Conklin, Tyler",min,nyg,0,4000,5
425,"Wesco, Trevon",nyj,phi,0,4500,5
426,"Henry, Hunter",lac, pit,26,5700,6
427,"Hooper, Austin",atl,ari,21.7,6400,6
428,"Kittle, George",sfo,lar,14.3,6500,6
429,"Seals-Jones, Ricky",cle, sea,12.2,5500,6
430,"Brate, Cameron",tam, car,11.7,4900,6
431,"Cook, Jared",nor,jac,11.2,5600,6
432,"Andrews, Mark",bal, cin,10.9,6300,6
433,"Williams, Maxx",ari, atl,10.9,4000,6
434,"Griffin, Ryan",nyj, dal,10.3,4000,6
435,"Fells, Darren",hou,kan,9.9,5200,6
436,"Witten, Jason",dal,nyj,8.2,5000,6
437,"Kelce, Travis",kan, hou,7.8,7500,6
438,"Goedert, Dallas",phi,min,7.3,4500,6
439,"Olsen, Greg",car,tam,7.2,5500,6
440,"Gesicki, Mike",mia, was,6.6,4600,6
441,"Lewis, Marcedes",gnb, det,6,4000,6
442,"Walker, Delanie",ten,den,5.8,5200,6
443,"Akins, Jordan",hou,kan,5.4,4600,6
444,"Ertz, Zach",phi,min,5.4,6600,6
445,"Rudolph, Kyle",min, phi,5.1,4500,6
446,"Ellison, Rhett",nyg,nwe,4.5,4000,6
447,"Howard, O.J.",tam, car,4.5,5100,6
448,"Izzo, Ryan",nwe, nyg,4.1,4800,6
449,"Hockenson, T.J.",det,gnb,4.1,5400,6
450,"Higbee, Tyler",lar, sfo,4,4500,6
451,"Smith Jr., Irv",min, phi,3.9,4500,6
452,"Uzomah, C.J.",cin,bal,3.6,4000,6
453,"Sprinkle, Jeremy",was,mia,3.4,4500,6
454,"Firkser, Anthony",ten,den,3,4000,6
455,"Boyle, Nick",bal, cin,2.8,4500,6
456,"Graham, Jimmy",gnb, det,2.7,5800,6
457,"Graham, Jaeden",atl,ari,2.6,4000,6
458,"Fant, Noah",den, ten,2.6,4500,6
459,"Willson, Luke",sea,cle,2.6,4200,6
460,"Eifert, Tyler",cin,bal,2.3,4500,6
461,"DeValve, Seth",jac, nor,2.1,4000,6
462,"Harris, Demetrius",cle, sea,2,4500,6
463,"Green, Virgil",lac, pit,2,4000,6
464,"Everett, Gerald",lar, sfo,1.9,6000,6
465,"Clay, Charles",ari, atl,1.8,4500,6
466,"Jarwin, Blake",dal,nyj,1.6,4500,6
467,"Brown, Pharaoh",cle, sea,1.4,4000,6
468,"James, Jesse",det,gnb,1.3,4000,6
469,"Smith, Jonnu",ten,den,1.3,4500,6
470,"Toilolo, Levine",sfo,lar,1.3,4000,6
471,"Hill, Josh",nor,jac,1.3,4600,6
472,"Schultz, Dalton",dal,nyj,1.1,4000,6
473,"Swaim, Geoff",jac, nor,1,4200,6
474,"Vannett, Nick",pit,lac,1,4500,6
475,"McDonald, Vance",pit,lac,1,5300,6
476,"Hurst, Hayden",bal, cin,0.9,4400,6
477,"O'Leary, Nick",mia, was,0.8,4200,6
478,"Stocker, Luke",atl,ari,0.5,4000,6
479,"Sample, Drew",cin,bal,0.4,4000,6
480,"Cunningham, Jerome",was,mia,0,4000,6
481,"Manhertz, Chris",car,tam,0,4000,6
482,"Beck, Andrew",den, ten,0,4000,6
483,"Thomas, Logan",det,gnb,0,4000,6
484,"Auclair, Antony",tam, car,0,4000,6
485,"Carter, Cethan",cin,bal,0,4000,6
486,"Thomas, Ian",car,tam,0,4000,6
487,"Mundt, Johnny",lar, sfo,0,4000,6
488,"Heuerman, Jeff",den, ten,0,4600,6
489,"Kendricks, Lance",lac, pit,0,4900,6
490,"LaCosse, Matt",nwe, nyg,0,4000,6
491,"Pruitt, MyCole",ten,den,0,4000,6
492,"Dissly, Will",sea,cle,0,6000,6
493,"Bell, Blake",kan, hou,0,4000,6
494,"Yelder, Deon",kan, hou,0,4000,6
495,"Daniels, Darrell",ari, atl,0,4000,6
496,"Brown, Daniel",nyj, dal,0,4500,6
497,"Hollister, Jacob",sea,cle,0,4500,6
498,"Smythe, Durham",mia, was,0,4000,6
499,"Conklin, Tyler",min, phi,0,4000,6
500,"Wesco, Trevon",nyj, dal,0,4500,6
501,"Dwelley, Ross",sfo,lar,0,4000,6
502,"Waller, Darren",oak,gnb,28.1,6200,7
503,"Ebron, Eric",ind, hou,15,5300,7
504,"Graham, Jimmy",gnb, oak,14.5,5800,7
505,"Rudolph, Kyle",min,det,14.3,4500,7
506,"Everett, Gerald",lar,atl,13,5900,7
507,"Goedert, Dallas",phi,dal,12.9,4800,7
508,"Henry, Hunter",lac,ten,12.7,5700,7
509,"Hooper, Austin",atl, lar,12.6,6600,7
510,"Hill, Josh",nor,chi,11.8,4600,7
511,"Ellison, Rhett",nyg, ari,10.3,4800,7
512,"Moreau, Foster",oak,gnb,9.4,4900,7
513,"Smith Jr., Irv",min,det,8.5,4500,7
514,"Smith, Jonnu",ten, lac,7.9,4500,7
515,"Kelce, Travis",kan,den,7.4,7200,7
516,"Jarwin, Blake",dal, phi,6.6,4500,7
517,"Gesicki, Mike",mia,buf,6.1,4600,7
518,"Shaheen, Adam",chi, nor,5.4,4300,7
519,"Kittle, George",sfo,was,5.3,7100,7
520,"Witten, Jason",dal, phi,5.3,5000,7
521,"Andrews, Mark",bal,sea,4.9,6700,7
522,"Ertz, Zach",phi,dal,4.8,6300,7
523,"Hockenson, T.J.",det, min,4.7,5400,7
524,"Fells, Darren",hou,ind,3.7,5400,7
525,"Doyle, Jack",ind, hou,3.6,4900,7
526,"Hollister, Jacob",sea, bal,3.5,4500,7
527,"Watson, Ben",nwe,nyj,3.3,0,7
528,"Firkser, Anthony",ten, lac,3.2,4000,7
529,"Carrier, Derek",oak,gnb,3.2,4000,7
530,"Knox, Dawson",buf, mia,3.2,4800,7
531,"Akins, Jordan",hou,ind,2.7,4600,7
532,"Boyle, Nick",bal,sea,2.5,4300,7
533,"Sprinkle, Jeremy",was, sfo,2.3,4500,7
534,"Burton, Trey",chi, nor,2.1,4800,7
535,"Eifert, Tyler",cin, jac,2,4500,7
536,"Clay, Charles",ari,nyg,1.7,4500,7
537,"Hurst, Hayden",bal,sea,1.5,4100,7
538,"Green, Virgil",lac,ten,1.4,4000,7
539,"Smith, Lee",buf, mia,1.4,4000,7
540,"Higbee, Tyler",lar,atl,1.3,4500,7
541,"James, Jesse",det, min,1.2,4000,7
542,"Fant, Noah",den, kan,1.2,4500,7
543,"Engram, Evan",nyg, ari,1.1,6800,7
544,"Williams, Maxx",ari,nyg,1,4900,7
545,"Sample, Drew",cin, jac,0.8,4000,7
546,"Toilolo, Levine",sfo,was,0.7,4000,7
547,"Dwelley, Ross",sfo,was,0.7,4000,7
548,"Tomlinson, Eric",nwe,nyj,0.6,4000,7
549,"Griffin, Ryan",nyj, nwe,0.6,4000,7
550,"Graham, Jaeden",atl, lar,0,4000,7
551,"Beck, Andrew",den, kan,0,4000,7
552,"Thomas, Logan",det, min,0,4000,7
553,"Lewis, Marcedes",gnb, oak,0,4000,7
554,"Walker, Delanie",ten, lac,0,5200,7
555,"Carter, Cethan",cin, jac,0,4000,7
556,"Schultz, Dalton",dal, phi,0,4000,7
557,"O'Leary, Nick",mia,buf,0,4200,7
558,"Uzomah, C.J.",cin, jac,0,4300,7
559,"Mundt, Johnny",lar,atl,0,4000,7
560,"Heuerman, Jeff",den, kan,0,4500,7
561,"Kendricks, Lance",lac,ten,0,4900,7
562,"Arnold, Dan",nor,chi,0,4000,7
563,"Willson, Luke",sea, bal,0,4500,7
564,"DeValve, Seth",jac,cin,0,4000,7
565,"Alie-Cox, Mo",ind, hou,0,4200,7
566,"Pruitt, MyCole",ten, lac,0,4000,7
567,"Kroft, Tyler",buf, mia,0,4000,7
568,"Bell, Blake",kan,den,0,4000,7
569,"Yelder, Deon",kan,den,0,4000,7
570,"Daniels, Darrell",ari,nyg,0,4000,7
571,"Stocker, Luke",atl, lar,0,4000,7
572,"Brown, Daniel",nyj, nwe,0,4500,7
573,"Braunecker, Ben",chi, nor,0,4000,7
574,"Smythe, Durham",mia,buf,0,4000,7
575,"Conklin, Tyler",min,det,0,4000,7
576,"Wesco, Trevon",nyj, nwe,0,4500,7
577,"Griffin, Ryan",nyj,jac,22.6,4000,8
578,"Fells, Darren",hou, oak,20.8,5100,8
579,"Smith, Jonnu",ten, tam,16.8,4900,8
580,"Hooper, Austin",atl, sea,15.5,6600,8
581,"Kelce, Travis",kan, gnb,14.3,6600,8
582,"Engram, Evan",nyg,det,12,6300,8
583,"Kittle, George",sfo, car,11.6,6900,8
584,"Eifert, Tyler",cin,lar,10.4,4500,8
585,"Clay, Charles",ari,nor,10.3,4500,8
586,"Harris, Demetrius",cle,nwe,10.3,4500,8
587,"Goedert, Dallas",phi,buf,9.7,4800,8
588,"Doyle, Jack",ind, den,8.1,4900,8
589,"Waller, Darren",oak,hou,8.1,6800,8
590,"Henry, Hunter",lac,chi,6.7,6700,8
591,"Firkser, Anthony",ten, tam,5.8,4000,8
592,"Hill, Josh",nor, ari,5.4,5000,8
593,"Fant, Noah",den,ind,5.1,4500,8
594,"Brate, Cameron",tam,ten,4.7,5200,8
595,"Kroft, Tyler",buf, phi,4.2,4000,8
596,"Ebron, Eric",ind, den,4.1,5400,8
597,"Smith Jr., Irv",min, was,3.6,4800,8
598,"Graham, Jimmy",gnb,kan,3.5,6000,8
599,"Arnold, Dan",nor, ari,3.5,4000,8
600,"McDonald, Vance",pit, mia,3.4,5300,8
601,"Rudolph, Kyle",min, was,3.2,4700,8
602,"Watson, Ben",nwe, cle,3.1,4900,8
603,"Ertz, Zach",phi,buf,3,6300,8
604,"Hollister, Jacob",sea,atl,2.8,4800,8
605,"Hockenson, T.J.",det, nyg,2.6,5300,8
606,"Everett, Gerald",lar, cin,2.5,6100,8
607,"Olsen, Greg",car,sfo,2.3,5500,8
608,"Stocker, Luke",atl, sea,2.3,4000,8
609,"Sprinkle, Jeremy",was,min,2.2,4700,8
610,"Thomas, Logan",det, nyg,2.2,4000,8
611,"Burton, Trey",chi, lac,2.1,4800,8
612,"Akins, Jordan",hou, oak,2.1,4300,8
613,"Gesicki, Mike",mia,pit,2,4800,8
614,"Vannett, Nick",pit, mia,2,4500,8
615,"Hentges, Hale",was,min,1.8,4000,8
616,"Graham, Jaeden",atl, sea,1.6,4000,8
617,"Lewis, Marcedes",gnb,kan,1.6,4000,8
618,"Heuerman, Jeff",den,ind,1.6,4300,8
619,"DeValve, Seth",jac, nyj,1.6,4000,8
620,"Moreau, Foster",oak,hou,1.5,4900,8
621,"Green, Virgil",lac,chi,1.5,4000,8
622,"Williams, Maxx",ari,nor,1.4,4600,8
623,"Higbee, Tyler",lar, cin,1.3,4500,8
624,"Willson, Luke",sea,atl,1.2,4500,8
625,"Oliver, Josh",jac, nyj,1.1,4000,8
626,"Smith, Lee",buf, phi,1.1,4000,8
627,"Uzomah, C.J.",cin,lar,0.9,4300,8
628,"Ellison, Rhett",nyg,det,0.4,5000,8
629,"Seals-Jones, Ricky",cle,nwe,0,5600,8
630,"Hudson, Tanner",tam,ten,0,4000,8
631,"Manhertz, Chris",car,sfo,0,4000,8
632,"James, Jesse",det, nyg,0,4000,8
633,"Beck, Andrew",den,ind,0,4000,8
634,"Auclair, Antony",tam,ten,0,4000,8
635,"Carter, Cethan",cin,lar,0,4000,8
636,"Shaheen, Adam",chi, lac,0,4300,8
637,"Brown, Pharaoh",cle,nwe,0,4000,8
638,"Thomas, Ian",car,sfo,0,4000,8
639,"O'Leary, Nick",mia,pit,0,4200,8
640,"Tomlinson, Eric",nwe, cle,0,4000,8
641,"Carrier, Derek",oak,hou,0,4000,8
642,"Sample, Drew",cin,lar,0,4200,8
643,"Mundt, Johnny",lar, cin,0,4000,8
644,"Holtz, J.P.",chi, lac,0,4000,8
645,"Koyack, Ben",jac, nyj,0,4000,8
646,"Alie-Cox, Mo",ind, den,0,4200,8
647,"Pruitt, MyCole",ten, tam,0,4000,8
648,"Bell, Blake",kan, gnb,0,4000,8
649,"Yelder, Deon",kan, gnb,0,4000,8
650,"Daniels, Darrell",ari,nor,0,4000,8
651,"Toilolo, Levine",sfo, car,0,4000,8
652,"Brown, Daniel",nyj,jac,0,4500,8
653,"Braunecker, Ben",chi, lac,0,4000,8
654,"Smythe, Durham",mia,pit,0,4000,8
655,"Conklin, Tyler",min, was,0,4000,8
656,"Wesco, Trevon",nyj,jac,0,4500,8
657,"Knox, Dawson",buf, phi,0,4600,8
658,"Dwelley, Ross",sfo, car,0,4000,8
