,Completion Percentage,Player Id,week,Last_Week_Completion Percentage
6,71.7,310.0,1,0.0
50,67.7,382.0,1,0.0
19,60.0,79860.0,1,0.0
112,88.72663418321592,81284.0,1,0.0
22,68.6,2495143.0,1,0.0
121,64.307396641074,2495240.0,1,0.0
130,76.96521946680078,2504211.0,1,0.0
125,74.15248560540448,2505076.0,1,0.0
116,66.94942369025662,2505982.0,1,0.0
30,68.2,2505996.0,1,0.0
115,41.843301763035925,2506121.0,1,0.0
93,60.0,2506363.0,1,0.0
126,48.17852214390554,2506581.0,1,0.0
123,92.54278058975528,2507282.0,1,0.0
118,50.01894617345364,2532820.0,1,0.0
67,68.2,2532888.0,1,0.0
13,0.0,2532956.0,1,0.0
122,71.12358755820718,2532975.0,1,0.0
48,100.0,2533033.0,1,0.0
114,91.89835003467996,2543465.0,1,0.0
104,61.105294141713124,2543477.0,1,0.0
117,85.15322287518644,2543499.0,1,0.0
113,81.83451094480068,2543801.0,1,0.0
128,74.05048617631472,2552033.0,1,0.0
45,58.3,2552466.0,1,0.0
109,45.77117598783056,2555259.0,1,0.0
120,28.397254768353662,2555260.0,1,0.0
79,77.8,2555261.0,1,0.0
84,59.0,2555334.0,1,0.0
111,89.12785693787919,2558008.0,1,0.0
103,61.80800664741216,2558063.0,1,0.0
105,81.2704787790366,2560720.0,1,0.0
0,85.0,2560757.0,1,0.0
129,41.59823506936846,2560800.0,1,0.0
124,74.5575344169384,2560858.0,1,0.0
90,64.9,2560955.0,1,0.0
127,57.93216807854211,2561177.0,1,0.0
61,75.0,2562299.0,1,0.0
110,18.25627849467915,2562382.0,1,0.0
119,80.65810388625675,2562660.0,1,0.0
106,27.148547399244435,2562746.0,1,0.0
107,44.109427077193786,2562796.0,1,0.0
108,77.13468059947903,2563258.0,1,0.0
134,71.68066043243711,310.0,2,71.7
147,62.21529142524978,382.0,2,67.7
138,71.9980715474176,79860.0,2,60.0
142,60.75604760454111,81284.0,2,88.72663418321592
140,74.52217168988734,2495143.0,2,68.6
65,0.0,2495240.0,2,64.307396641074
99,71.4,2504211.0,2,76.96521946680078
77,60.0,2505076.0,2,74.15248560540448
146,54.061783310331776,2505982.0,2,66.94942369025662
141,58.265564788309796,2505996.0,2,68.2
41,58.3,2506121.0,2,41.843301763035925
158,50.65366969837055,2506363.0,2,60.0
155,31.89138438461413,2506581.0,2,48.17852214390554
153,27.360165998285183,2507282.0,2,92.54278058975528
149,77.46019297686333,2532820.0,2,50.01894617345364
152,41.92495531909101,2532888.0,2,68.2
137,78.80316867549136,2532956.0,2,0.0
71,82.9,2532975.0,2,71.12358755820718
145,74.1494103144028,2533033.0,2,100.0
143,81.62023553033363,2543465.0,2,91.89835003467996
133,32.61193482426527,2543477.0,2,61.105294141713124
148,75.64135459352848,2543499.0,2,85.15322287518644
37,68.0,2543801.0,2,81.83451094480068
95,64.0,2552033.0,2,74.05048617631472
144,85.72110600683753,2552466.0,2,58.3
26,58.1,2555259.0,2,45.77117598783056
63,86.7,2555260.0,2,28.397254768353662
80,60.7,2555261.0,2,77.8
156,49.22026152616483,2555334.0,2,59.0
34,59.3,2558008.0,2,89.12785693787919
132,51.686481855857025,2558063.0,2,61.80800664741216
135,59.5823333231668,2560720.0,2,81.2704787790366
131,29.92400489290772,2560757.0,2,85.0
97,54.3,2560800.0,2,41.59823506936846
154,36.231946754204635,2560858.0,2,74.5575344169384
91,63.3,2560955.0,2,64.9
157,69.59056423978572,2561177.0,2,57.93216807854211
151,58.50008254352572,2562299.0,2,75.0
31,62.5,2562382.0,2,18.25627849467915
150,61.23353171616344,2562660.0,2,80.65810388625675
136,50.83577736983975,2562746.0,2,27.148547399244435
15,69.7,2562796.0,2,44.109427077193786
139,71.6485346829911,2563258.0,2,77.13468059947903
7,85.3,310.0,3,71.68066043243711
175,52.05394383139257,382.0,3,62.21529142524978
20,56.3,79860.0,3,71.9980715474176
169,72.72829833870087,81284.0,3,60.75604760454111
23,55.6,2495143.0,3,74.52217168988734
180,85.24806287866882,2495240.0,3,0.0
190,90.09440676513755,2504211.0,3,71.4
184,66.58456718966076,2505076.0,3,60.0
174,48.811203999411426,2505982.0,3,54.061783310331776
167,83.95211288481678,2505996.0,3,58.265564788309796
171,80.40301302565284,2506121.0,3,58.3
187,46.941414674755634,2506363.0,3,50.65366969837055
81,100.0,2506581.0,3,31.89138438461413
183,74.28894308262583,2507282.0,3,27.360165998285183
176,74.46427907703224,2532820.0,3,77.46019297686333
181,62.32495427881457,2532888.0,3,41.92495531909101
163,81.95213077797935,2532956.0,3,78.80316867549136
182,66.1972670279426,2532975.0,3,82.9
173,85.98490566794749,2533033.0,3,74.1494103144028
39,70.4,2543465.0,3,81.62023553033363
160,64.3097245298646,2543477.0,3,32.61193482426527
53,79.4,2543499.0,3,75.64135459352848
170,64.42418343916654,2543801.0,3,68.0
188,73.7605794811748,2552033.0,3,64.0
172,73.60524989832173,2552466.0,3,85.72110600683753
166,46.66516928591512,2555259.0,3,58.1
179,92.20547900197059,2555260.0,3,86.7
185,48.935306653700714,2555261.0,3,60.7
85,63.2,2555334.0,3,49.22026152616483
35,80.6,2558008.0,3,59.3
3,73.5,2558063.0,3,51.686481855857025
161,51.543803190088326,2560720.0,3,59.5823333231668
159,73.34812482399839,2560757.0,3,29.92400489290772
189,64.12851614960833,2560800.0,3,54.3
76,46.2,2560858.0,3,36.231946754204635
186,61.61403304201846,2560955.0,3,63.3
88,73.1,2561177.0,3,69.59056423978572
178,60.42732947569657,2562299.0,3,58.50008254352572
168,72.04048899643585,2562382.0,3,62.5
177,77.27211028234841,2562660.0,3,61.23353171616344
162,57.02430167301191,2562746.0,3,50.83577736983975
164,92.76806250022312,2562796.0,3,69.7
165,63.144663944780575,2563258.0,3,71.6485346829911
194,79.18797959857109,310.0,4,85.3
209,55.405890754632296,382.0,4,52.05394383139257
198,54.54646646615484,79860.0,4,56.3
204,76.26213787260112,81284.0,4,72.72829833870087
24,56.8,2495143.0,4,55.6
66,100.0,2495240.0,4,85.24806287866882
100,46.2,2504211.0,4,90.09440676513755
214,63.05934949197177,2505076.0,4,66.58456718966076
208,63.08038158128723,2505982.0,4,48.811203999411426
201,66.7166356019039,2505996.0,4,83.95211288481678
42,80.0,2506121.0,4,80.40301302565284
219,63.52582901673063,2506363.0,4,46.941414674755634
216,57.72714332213707,2506581.0,4,100.0
212,71.72261937268897,2507282.0,4,74.28894308262583
56,75.0,2532820.0,4,74.46427907703224
68,54.5,2532888.0,4,62.32495427881457
197,77.90052884822181,2532956.0,4,81.95213077797935
72,78.6,2532975.0,4,66.1972670279426
207,76.90259823808533,2533033.0,4,85.98490566794749
206,74.55249791862673,2543465.0,4,70.4
193,72.35077672863157,2543477.0,4,64.3097245298646
54,67.7,2543499.0,4,79.4
205,81.31905376643792,2543801.0,4,64.42418343916654
220,55.9875992253785,2552033.0,4,73.7605794811748
46,66.7,2552466.0,4,73.60524989832173
200,71.91467860471505,2555259.0,4,46.66516928591512
